city,Iter,drones,slots,lp_var,lp_cons,lp_obj,lp_time,nlp_var,nlp_cons,nlp_obj,nlp_time,hx_obj,hx_time,i_max,seed
SB,1,2,6,2246,4208,325.91,166.107,326,92,325.91,300.679,325.91,300,"[30.0, 570.0, 30.0, 570.0]",6994670074771835359
SB,2,2,6,2246,4208,292.93,154.603,326,92,292.93,301.223,292.9284999985266,300,"[210.0, 750.0, 570.0, 570.0]",2907805861020152365
SB,3,2,6,2246,4208,298.2,161.77,326,92,298.2,300.814,298.19850002655244,300,"[30.0, 390.0, 750.0, 390.0]",3642476179444792856
SB,4,2,6,2246,4208,323.61,300.302,326,92,323.61,300.431,323.61,300,"[30.0, 390.0, 390.0, 30.0]",2504330562677288137
SB,5,2,6,2246,4208,453.22,266.58,326,92,453.22,300.34,453.2192203552986,300,"[390.0, 30.0, 30.0, 390.0]",758208670137472920
SB,6,2,6,2246,4208,502.27,300.654,326,92,502.27,300.378,502.26999999999975,300,"[210.0, 210.0, 30.0, 390.0]",4223740572560454686
SB,7,2,6,2246,4208,446.23,300.629,326,92,446.23,300.355,446.2295800056818,300,"[30.0, 210.0, 210.0, 570.0]",3788334612552660041
SB,8,2,6,2246,4208,631.01,300.741,326,92,631.01,300.348,631.01,300,"[210.0, 210.0, 30.0, 30.0]",777251730596214179
