city,Iter,drones,slots,lp_var,lp_cons,lp_obj,lp_time,nlp_var,nlp_cons,nlp_obj,nlp_time,hx_obj,hx_time,i_max,seed
LA,1,5,8,37402,68750,0.0,775.321,2442,300,0.0,1983.141,0.0,335,"[210.0, 210.0, 390.0, 390.0, 390.0, 750.0, 390.0, 390.0]",[8875305240932616139]
LA,2,5,8,37402,68750,258.92,3602.293,2442,300,258.92,3601.524,258.91874930420477,3600,"[570.0, 390.0, 570.0, 570.0, 210.0, 570.0, 210.0, 390.0]",[3310064385362314707]
LA,3,5,8,37402,68750,113.8,3603.265,2442,300,113.8,3602.146,113.79916027382501,3600,"[750.0, 750.0, 390.0, 570.0, 210.0, 390.0, 210.0, 210.0]",[3862596281589793534]
